service,t,x,v,a,P
E502,2358,5.60155960747,29.3024323193,-0.336517428735,2.73910532771
E503,2358,7.68501362148,29.7327457263,-1.1,0.0
E504,2358,9.97226914122,28.3114694479,-0.330449339441,2.59875177157
E505,2358,3.73330033722,51.6906534514,-1.1,0.0
E506,2358,5.3375560303,3.97509959103,1.10308782976,213164.988208
E507,2358,0.212765602844,13.8484279798,-0.26564058771,1.02186237428
E500,2359,1.42678947937,47.5665999864,-0.485737661714,6.41802473696
E501,2359,3.72183427922,27.9433987313,1.02189562499,1498467.30373
E502,2359,5.60953132831,28.1043332349,-0.329207332538,2.57004238251
E503,2359,7.69271996751,25.7727457263,-1.1,0.0
E504,2359,9.97998229395,27.8146078719,1.02265819682,1491560.87626
E505,2359,3.74710610206,47.7306534514,-1.1,0.0
E506,2359,5.33921382,7.93816552656,1.09808801263,425684.681839
E507,2359,0.216767092518,14.5624887793,-0.267796940106,1.08327498206
E500,2360,1.43976127767,45.8491632551,-0.468685190502,5.96911772628
E501,2360,3.72997133194,29.4296103914,-0.337311308541,2.75748344194
E502,2360,5.61724171899,28.4574853537,1.01881658711,1526035.27005
E503,2360,7.69932631355,21.8127457263,-1.1,0.0
E504,2360,9.9881041862,29.4721349809,-0.337577525507,2.76364733285
E505,2360,3.75981186691,43.7706534514,-1.1,0.0
E506,2360,5.34196939117,11.8772793223,1.08981080743,636919.962085
E507,2360,0.220679677172,13.8225866308,1.0845067594,741237.227469
E500,2361,1.45260429306,47.2365944896,0.583917635958,2000445.11493
E501,2361,3.73797798953,28.2287429435,-0.329952210187,2.58726003472
E502,2361,5.6254227475,29.2597386069,-0.336251693908,2.73295463052
E503,2361,7.70483265958,17.8527457263,-1.1,0.0
E504,2361,9.99612252523,28.2703392032,-0.330201993189,2.59303398695
E505,2361,3.77141763176,39.8106534514,-1.1,0.0
E506,2361,5.34581445872,15.7808101534,1.078355192,846247.135247
E507,2361,0.224729981288,14.3163628695,-0.267041439285,1.06196170722
E500,2362,1.46600784494,49.2210797759,0.520554414645,2000380.80284
E501,2362,3.74568512231,28.0718910596,1.02113130712,1505357.7225
E502,2362,5.6333827397,28.0625661785,-0.328957998532,2.56427933438
E503,2362,7.70923900562,13.8927457263,-1.1,0.0
E504,2362,10.0038318857,27.9430081454,1.02189794298,1498446.35851
E505,2362,3.78192339661,35.8506534514,-1.1,0.0
E506,2362,5.35073756274,19.6375498514,1.0638563262,1053065.17166
E507,2362,0.228634719628,14.8155883336,1.0814891962,794487.029428
E500,2363,1.4797520951,48.8638513105,-0.499033851382,6.77353219801
E501,2363,3.7538356151,29.3869215565,-0.337044449981,2.75130522573
E502,2363,5.64109737525,28.5850090759,1.01804410835,1532873.74752
E503,2363,7.71254535165,9.93274572634,-1.1,0.0
E504,2363,10.0119688311,29.4292284592,-0.337308919271,2.75742812404
E505,2363,3.79132916145,31.8906534514,-1.1,0.0
E506,2363,5.35616482905,19.0459619284,-0.283812724497,1.50152398488
E507,2363,0.232674913295,14.0704017052,-0.26629930617,1.0408161699
